filename,label
cv-other-dev__sample-000004.mp3,35.0
cv-other-dev__sample-000011.mp3,25.0
cv-other-dev__sample-000012.mp3,25.0
cv-other-dev__sample-000013.mp3,25.0
cv-other-dev__sample-000015.mp3,25.0
cv-other-dev__sample-000019.mp3,35.0
cv-other-dev__sample-000021.mp3,25.0
cv-other-dev__sample-000023.mp3,25.0
cv-other-dev__sample-000025.mp3,25.0
cv-other-dev__sample-000026.mp3,65.0
cv-other-dev__sample-000027.mp3,25.0
cv-other-dev__sample-000030.mp3,25.0
cv-other-dev__sample-000033.mp3,25.0
cv-other-dev__sample-000036.mp3,65.0
cv-other-dev__sample-000039.mp3,55.0
cv-other-dev__sample-000040.mp3,55.0
cv-other-dev__sample-000046.mp3,55.0
cv-other-dev__sample-000047.mp3,35.0
cv-other-dev__sample-000048.mp3,25.0
cv-other-dev__sample-000049.mp3,65.0
cv-other-dev__sample-000050.mp3,35.0
cv-other-dev__sample-000051.mp3,65.0
cv-other-dev__sample-000052.mp3,55.0
cv-other-dev__sample-000053.mp3,35.0
cv-other-dev__sample-000056.mp3,25.0
cv-other-dev__sample-000058.mp3,55.0
cv-other-dev__sample-000061.mp3,25.0
cv-other-dev__sample-000063.mp3,35.0
cv-other-dev__sample-000064.mp3,25.0
cv-other-dev__sample-000069.mp3,65.0
cv-other-dev__sample-000070.mp3,25.0
cv-other-dev__sample-000071.mp3,35.0
cv-other-dev__sample-000074.mp3,35.0
cv-other-dev__sample-000078.mp3,35.0
cv-other-dev__sample-000079.mp3,25.0
cv-other-dev__sample-000085.mp3,65.0
cv-other-dev__sample-000089.mp3,35.0
cv-other-dev__sample-000093.mp3,35.0
cv-other-dev__sample-000094.mp3,25.0
cv-other-dev__sample-000100.mp3,25.0
cv-other-dev__sample-000101.mp3,65.0
cv-other-dev__sample-000102.mp3,25.0
cv-other-dev__sample-000104.mp3,25.0
cv-other-dev__sample-000105.mp3,35.0
cv-other-dev__sample-000108.mp3,25.0
cv-other-dev__sample-000110.mp3,35.0
cv-other-dev__sample-000112.mp3,35.0
cv-other-dev__sample-000114.mp3,35.0
cv-other-dev__sample-000118.mp3,35.0
cv-other-dev__sample-000123.mp3,25.0
cv-other-dev__sample-000130.mp3,65.0
cv-other-dev__sample-000133.mp3,25.0
cv-other-dev__sample-000134.mp3,35.0
cv-other-dev__sample-000136.mp3,35.0
cv-other-dev__sample-000141.mp3,35.0
cv-other-dev__sample-000142.mp3,35.0
cv-other-dev__sample-000146.mp3,25.0
cv-other-dev__sample-000148.mp3,35.0
cv-other-dev__sample-000151.mp3,25.0
cv-other-dev__sample-000152.mp3,25.0
cv-other-dev__sample-000153.mp3,15.0
cv-other-dev__sample-000154.mp3,35.0
cv-other-dev__sample-000155.mp3,55.0
cv-other-dev__sample-000156.mp3,15.0
cv-other-dev__sample-000157.mp3,25.0
cv-other-dev__sample-000158.mp3,55.0
cv-other-dev__sample-000159.mp3,25.0
cv-other-dev__sample-000160.mp3,25.0
cv-other-dev__sample-000162.mp3,35.0
cv-other-dev__sample-000163.mp3,75.0
cv-other-dev__sample-000165.mp3,35.0
cv-other-dev__sample-000166.mp3,35.0
cv-other-dev__sample-000172.mp3,75.0
cv-other-dev__sample-000173.mp3,55.0
cv-other-dev__sample-000175.mp3,25.0
cv-other-dev__sample-000177.mp3,35.0
cv-other-dev__sample-000178.mp3,25.0
cv-other-dev__sample-000179.mp3,75.0
cv-other-dev__sample-000183.mp3,35.0
cv-other-dev__sample-000184.mp3,25.0
cv-other-dev__sample-000188.mp3,65.0
cv-other-dev__sample-000190.mp3,35.0
cv-other-dev__sample-000194.mp3,35.0
cv-other-dev__sample-000198.mp3,25.0
cv-other-dev__sample-000199.mp3,25.0
cv-other-dev__sample-000206.mp3,55.0
cv-other-dev__sample-000208.mp3,35.0
cv-other-dev__sample-000214.mp3,15.0
cv-other-dev__sample-000217.mp3,25.0
cv-other-dev__sample-000221.mp3,25.0
cv-other-dev__sample-000223.mp3,35.0
cv-other-dev__sample-000224.mp3,25.0
cv-other-dev__sample-000225.mp3,25.0
cv-other-dev__sample-000226.mp3,35.0
cv-other-dev__sample-000227.mp3,35.0
cv-other-dev__sample-000235.mp3,65.0
cv-other-dev__sample-000238.mp3,35.0
cv-other-dev__sample-000239.mp3,35.0
cv-other-dev__sample-000246.mp3,25.0
cv-other-dev__sample-000248.mp3,35.0
cv-other-dev__sample-000250.mp3,25.0
cv-other-dev__sample-000252.mp3,15.0
cv-other-dev__sample-000253.mp3,55.0
cv-other-dev__sample-000254.mp3,35.0
cv-other-dev__sample-000255.mp3,25.0
cv-other-dev__sample-000257.mp3,25.0
cv-other-dev__sample-000258.mp3,65.0
cv-other-dev__sample-000261.mp3,55.0
cv-other-dev__sample-000263.mp3,35.0
cv-other-dev__sample-000264.mp3,25.0
cv-other-dev__sample-000266.mp3,35.0
cv-other-dev__sample-000267.mp3,35.0
cv-other-dev__sample-000268.mp3,35.0
cv-other-dev__sample-000271.mp3,55.0
cv-other-dev__sample-000280.mp3,35.0
cv-other-dev__sample-000282.mp3,25.0
cv-other-dev__sample-000283.mp3,65.0
cv-other-dev__sample-000285.mp3,55.0
cv-other-dev__sample-000287.mp3,25.0
cv-other-dev__sample-000289.mp3,35.0
cv-other-dev__sample-000294.mp3,25.0
cv-other-dev__sample-000295.mp3,65.0
cv-other-dev__sample-000299.mp3,35.0
cv-other-dev__sample-000302.mp3,25.0
cv-other-dev__sample-000306.mp3,35.0
cv-other-dev__sample-000309.mp3,55.0
cv-other-dev__sample-000311.mp3,55.0
cv-other-dev__sample-000312.mp3,25.0
cv-other-dev__sample-000313.mp3,15.0
cv-other-dev__sample-000314.mp3,35.0
cv-other-dev__sample-000319.mp3,25.0
cv-other-dev__sample-000321.mp3,35.0
cv-other-dev__sample-000322.mp3,65.0
cv-other-dev__sample-000326.mp3,55.0
cv-other-dev__sample-000328.mp3,25.0
cv-other-dev__sample-000330.mp3,25.0
cv-other-dev__sample-000332.mp3,25.0
cv-other-dev__sample-000336.mp3,25.0
cv-other-dev__sample-000344.mp3,55.0
cv-other-dev__sample-000345.mp3,65.0
cv-other-dev__sample-000346.mp3,25.0
cv-other-dev__sample-000349.mp3,25.0
cv-other-dev__sample-000350.mp3,35.0
cv-other-dev__sample-000351.mp3,55.0
cv-other-dev__sample-000354.mp3,35.0
cv-other-dev__sample-000358.mp3,65.0
cv-other-dev__sample-000362.mp3,65.0
cv-other-dev__sample-000363.mp3,65.0
cv-other-dev__sample-000367.mp3,35.0
cv-other-dev__sample-000370.mp3,35.0
cv-other-dev__sample-000374.mp3,35.0
cv-other-dev__sample-000378.mp3,25.0
cv-other-dev__sample-000379.mp3,25.0
cv-other-dev__sample-000380.mp3,35.0
cv-other-dev__sample-000383.mp3,15.0
cv-other-dev__sample-000384.mp3,25.0
cv-other-dev__sample-000386.mp3,35.0
cv-other-dev__sample-000387.mp3,25.0
cv-other-dev__sample-000388.mp3,35.0
cv-other-dev__sample-000392.mp3,25.0
cv-other-dev__sample-000393.mp3,25.0
cv-other-dev__sample-000397.mp3,15.0
cv-other-dev__sample-000398.mp3,35.0
cv-other-dev__sample-000399.mp3,25.0
cv-other-dev__sample-000401.mp3,25.0
cv-other-dev__sample-000403.mp3,15.0
cv-other-dev__sample-000406.mp3,25.0
cv-other-dev__sample-000408.mp3,25.0
cv-other-dev__sample-000410.mp3,55.0
cv-other-dev__sample-000411.mp3,25.0
cv-other-dev__sample-000426.mp3,35.0
cv-other-dev__sample-000428.mp3,35.0
cv-other-dev__sample-000429.mp3,25.0
cv-other-dev__sample-000433.mp3,35.0
cv-other-dev__sample-000438.mp3,35.0
cv-other-dev__sample-000444.mp3,25.0
cv-other-dev__sample-000449.mp3,25.0
cv-other-dev__sample-000451.mp3,25.0
cv-other-dev__sample-000453.mp3,25.0
cv-other-dev__sample-000454.mp3,25.0
cv-other-dev__sample-000455.mp3,35.0
cv-other-dev__sample-000456.mp3,25.0
cv-other-dev__sample-000462.mp3,35.0
cv-other-dev__sample-000463.mp3,25.0
cv-other-dev__sample-000464.mp3,35.0
cv-other-dev__sample-000465.mp3,35.0
cv-other-dev__sample-000466.mp3,35.0
cv-other-dev__sample-000467.mp3,25.0
cv-other-dev__sample-000468.mp3,65.0
cv-other-dev__sample-000469.mp3,55.0
cv-other-dev__sample-000473.mp3,55.0
cv-other-dev__sample-000474.mp3,25.0
cv-other-dev__sample-000476.mp3,35.0
cv-other-dev__sample-000477.mp3,25.0
cv-other-dev__sample-000480.mp3,35.0
cv-other-dev__sample-000483.mp3,35.0
cv-other-dev__sample-000485.mp3,35.0
cv-other-dev__sample-000488.mp3,35.0
cv-other-dev__sample-000491.mp3,25.0
cv-other-dev__sample-000493.mp3,25.0
cv-other-dev__sample-000494.mp3,35.0
cv-other-dev__sample-000496.mp3,25.0
cv-other-dev__sample-000497.mp3,35.0
cv-other-dev__sample-000501.mp3,35.0
cv-other-dev__sample-000502.mp3,25.0
cv-other-dev__sample-000503.mp3,25.0
cv-other-dev__sample-000504.mp3,25.0
cv-other-dev__sample-000506.mp3,55.0
cv-other-dev__sample-000507.mp3,25.0
cv-other-dev__sample-000510.mp3,55.0
cv-other-dev__sample-000516.mp3,65.0
cv-other-dev__sample-000520.mp3,35.0
cv-other-dev__sample-000521.mp3,25.0
cv-other-dev__sample-000522.mp3,15.0
cv-other-dev__sample-000524.mp3,35.0
cv-other-dev__sample-000529.mp3,25.0
cv-other-dev__sample-000530.mp3,55.0
cv-other-dev__sample-000531.mp3,25.0
cv-other-dev__sample-000534.mp3,25.0
cv-other-dev__sample-000535.mp3,25.0
cv-other-dev__sample-000537.mp3,55.0
cv-other-dev__sample-000538.mp3,55.0
cv-other-dev__sample-000544.mp3,65.0
cv-other-dev__sample-000546.mp3,25.0
cv-other-dev__sample-000547.mp3,75.0
cv-other-dev__sample-000554.mp3,25.0
cv-other-dev__sample-000555.mp3,25.0
cv-other-dev__sample-000559.mp3,55.0
cv-other-dev__sample-000560.mp3,25.0
cv-other-dev__sample-000561.mp3,25.0
cv-other-dev__sample-000563.mp3,25.0
cv-other-dev__sample-000572.mp3,25.0
cv-other-dev__sample-000574.mp3,25.0
cv-other-dev__sample-000575.mp3,25.0
cv-other-dev__sample-000580.mp3,75.0
cv-other-dev__sample-000582.mp3,35.0
cv-other-dev__sample-000583.mp3,55.0
cv-other-dev__sample-000585.mp3,25.0
cv-other-dev__sample-000588.mp3,25.0
cv-other-dev__sample-000592.mp3,25.0
cv-other-dev__sample-000596.mp3,35.0
cv-other-dev__sample-000600.mp3,25.0
cv-other-dev__sample-000611.mp3,35.0
cv-other-dev__sample-000612.mp3,25.0
cv-other-dev__sample-000614.mp3,35.0
cv-other-dev__sample-000615.mp3,35.0
cv-other-dev__sample-000616.mp3,25.0
cv-other-dev__sample-000618.mp3,55.0
cv-other-dev__sample-000619.mp3,25.0
cv-other-dev__sample-000620.mp3,35.0
cv-other-dev__sample-000622.mp3,55.0
cv-other-dev__sample-000623.mp3,25.0
cv-other-dev__sample-000626.mp3,25.0
cv-other-dev__sample-000627.mp3,35.0
cv-other-dev__sample-000630.mp3,25.0
cv-other-dev__sample-000631.mp3,35.0
cv-other-dev__sample-000632.mp3,25.0
cv-other-dev__sample-000634.mp3,85.0
cv-other-dev__sample-000637.mp3,65.0
cv-other-dev__sample-000644.mp3,75.0
cv-other-dev__sample-000645.mp3,35.0
cv-other-dev__sample-000646.mp3,75.0
cv-other-dev__sample-000650.mp3,25.0
cv-other-dev__sample-000652.mp3,15.0
cv-other-dev__sample-000654.mp3,35.0
cv-other-dev__sample-000655.mp3,25.0
cv-other-dev__sample-000657.mp3,25.0
cv-other-dev__sample-000660.mp3,55.0
cv-other-dev__sample-000662.mp3,35.0
cv-other-dev__sample-000663.mp3,15.0
cv-other-dev__sample-000666.mp3,25.0
cv-other-dev__sample-000667.mp3,25.0
cv-other-dev__sample-000669.mp3,25.0
cv-other-dev__sample-000675.mp3,55.0
cv-other-dev__sample-000677.mp3,25.0
cv-other-dev__sample-000685.mp3,35.0
cv-other-dev__sample-000687.mp3,65.0
cv-other-dev__sample-000692.mp3,15.0
cv-other-dev__sample-000693.mp3,35.0
cv-other-dev__sample-000697.mp3,65.0
cv-other-dev__sample-000698.mp3,35.0
cv-other-dev__sample-000702.mp3,25.0
cv-other-dev__sample-000703.mp3,15.0
cv-other-dev__sample-000707.mp3,35.0
cv-other-dev__sample-000708.mp3,35.0
cv-other-dev__sample-000709.mp3,35.0
cv-other-dev__sample-000712.mp3,55.0
cv-other-dev__sample-000718.mp3,35.0
cv-other-dev__sample-000720.mp3,35.0
cv-other-dev__sample-000722.mp3,55.0
cv-other-dev__sample-000728.mp3,25.0
cv-other-dev__sample-000730.mp3,25.0
cv-other-dev__sample-000741.mp3,25.0
cv-other-dev__sample-000742.mp3,35.0
cv-other-dev__sample-000749.mp3,55.0
cv-other-dev__sample-000751.mp3,35.0
cv-other-dev__sample-000754.mp3,15.0
cv-other-dev__sample-000755.mp3,35.0
cv-other-dev__sample-000760.mp3,35.0
cv-other-dev__sample-000763.mp3,35.0
cv-other-dev__sample-000774.mp3,25.0
cv-other-dev__sample-000777.mp3,35.0
cv-other-dev__sample-000779.mp3,35.0
cv-other-dev__sample-000783.mp3,35.0
cv-other-dev__sample-000785.mp3,25.0
cv-other-dev__sample-000786.mp3,25.0
cv-other-dev__sample-000788.mp3,35.0
cv-other-dev__sample-000789.mp3,35.0
cv-other-dev__sample-000791.mp3,35.0
cv-other-dev__sample-000792.mp3,25.0
cv-other-dev__sample-000793.mp3,15.0
cv-other-dev__sample-000795.mp3,35.0
cv-other-dev__sample-000797.mp3,35.0
cv-other-dev__sample-000800.mp3,35.0
cv-other-dev__sample-000801.mp3,25.0
cv-other-dev__sample-000802.mp3,25.0
cv-other-dev__sample-000804.mp3,25.0
cv-other-dev__sample-000805.mp3,25.0
cv-other-dev__sample-000806.mp3,35.0
cv-other-dev__sample-000808.mp3,55.0
cv-other-dev__sample-000809.mp3,55.0
cv-other-dev__sample-000810.mp3,25.0
cv-other-dev__sample-000811.mp3,55.0
cv-other-dev__sample-000815.mp3,55.0
cv-other-dev__sample-000818.mp3,75.0
cv-other-dev__sample-000821.mp3,25.0
cv-other-dev__sample-000823.mp3,25.0
cv-other-dev__sample-000824.mp3,25.0
cv-other-dev__sample-000826.mp3,25.0
cv-other-dev__sample-000828.mp3,15.0
cv-other-dev__sample-000829.mp3,55.0
cv-other-dev__sample-000831.mp3,15.0
cv-other-dev__sample-000832.mp3,35.0
cv-other-dev__sample-000837.mp3,65.0
cv-other-dev__sample-000838.mp3,25.0
cv-other-dev__sample-000839.mp3,35.0
cv-other-dev__sample-000840.mp3,35.0
cv-other-dev__sample-000843.mp3,55.0
cv-other-dev__sample-000847.mp3,25.0
cv-other-dev__sample-000851.mp3,25.0
cv-other-dev__sample-000852.mp3,35.0
cv-other-dev__sample-000853.mp3,15.0
cv-other-dev__sample-000856.mp3,15.0
cv-other-dev__sample-000857.mp3,35.0
cv-other-dev__sample-000860.mp3,35.0
cv-other-dev__sample-000861.mp3,35.0
cv-other-dev__sample-000862.mp3,25.0
cv-other-dev__sample-000867.mp3,25.0
cv-other-dev__sample-000868.mp3,35.0
cv-other-dev__sample-000871.mp3,35.0
cv-other-dev__sample-000877.mp3,25.0
cv-other-dev__sample-000880.mp3,15.0
cv-other-dev__sample-000881.mp3,25.0
cv-other-dev__sample-000882.mp3,65.0
cv-other-dev__sample-000884.mp3,25.0
cv-other-dev__sample-000887.mp3,35.0
